Mineral_name,Formula,Reference
Montmorillonite,Al₂ Si₄ O₁₂ Ca.₅,"Viani A., Gualtieri A., Artioli G., The nature of disorder in montmorillonite by simulation of X-ray powder patterns Note: Structural simulation model, American Mineralogist, 87, 966–975 (2002)."
Ribbeite,Mn₅ Si₂ O₁₀ H₂,"Freed R. L., Rouse R. C., Peacor D. R., Ribbeite, a second example of edge-sharing silicate tetrahedra in the leucophoenicite group, American Mineralogist, 78, 190–194 (1993)."
Rubicline,Rb (Al Si₃) O₈,"Gasperin M., Structure cristalline de RbAlSi3O8 _cod_database_code 1001771, Acta Crystallographica, Section B, 27, 854–855 (1971)."
Schwartzembergite,Pb₁.₆₆₆ I.₃₃₄ Cl O₂,"Welch M. D., Hawthorne F. C., Cooper M. A., Kyser T. K., Trivalent iodine in the crystal structure of schwartzembergite, Pb5IO6H2Cl3, The Canadian Mineralogist, 39, 785–795 (2001)."
Rickardite,Cu₁.₄ Te,"Forman S. A., Peacock M. A., Crystal structure of rickardite, Cu4-xTe2, American Mineralogist, 34, 441–451 (1949)."
Srilankite,(Zr.₅₇₅ Ti.₄₂₅) O₂,"Troitzsch U., Christy A. G., Ellis D. J., The crystal structure of disordered (Zr,Ti)O2 solid solution Sample: XTi = 0.425, Physics and Chemistry of Minerals, 32, 504–514 (2005)."
Murdochite,Pb Cu₅.₉₉₉ O₈,"Christ C. L., Clark J. R., The crystal structure of murdochite disordered model, American Mineralogist, 40, 907–916 (1955)."
Spodumene-II,Li (Al Si₂) O₆,"Li C. T., Peacor D. R., The crystal structure LiAlSi2O6-II (""beta spodumene"") Note, y coordinate of Si1 altered according to Clarke and Spink (1969), Zeitschrift fur Kristallographie, 126, 46–65 (1968)."
Bukovite,Tl (Cu₁.₅₅ Fe.₄₅) Se₂,"Makovicky E., Johan Z., Karup-Moller S., New data on bukovite, thalcusite, chalcothallite and rohaite, Neues Jahrbuch fur Mineralogie, Abhandlungen, 138, 122–146 (1980)."
Pyrophanite-ecandrewsite,(Mn.₅ Zn.₅) Ti O₃,"Mitchell R. H., Liferovich R. P., The pyrophanite-ecandrewsite solid-solution: crystal structures of the Mn1-xZnxSiO3 series (0.1 <= x <= 0.8) Sample: x = .5, ilmenite structure, The Canadian Mineralogist, 42, 1871–1880 (2004)."
Squawcreekite,(Fe.₅ Sb.₅) O₂,"Basso R., Cabella R., Lucchetti G., Marescotti P., Martinelli A., Structural studies on synthetic and natural Fe-Sb-oxides of MO2 type, Neues Jahrbuch fur Mineralogie, Monatshefte, 2003, 407–420 (2003)."
Theoparacelsite,Cu As.₆₆₇ O₃ H.₆₆₇,"Sarp H., Cerny R., Theoparacelsite, Cu3(OH)2As2O7, a new mineral: its description and crystal structure, Archives des Sciences, Geneve, 54, 7–14 (2001)."
Florensovite,Cu (Cr₁.₅ Sb.₅) S₄,"Warczewski J., Kusz J., Filimonov D. S., Kessler Y. A., Koroleva L. I., Mikheev M. G., Odintsov A. G., Aminov T. G., Busheva E. V., Shabunina G. G., New antiferromagnetic semiconductor CuCr1.5Sb0.5S4, Journal of Magnetism and Magnetic Materials, 175, 299–303 (1997)."
Paragersdorffite,Ni (As₁.₂₃ S.₇₇),"Bayliss P., The crystal structure of disordered gersdorffite, American Mineralogist, 53, 290–293 (1968)."
Pentlandite,(Ni₄.₅ Fe₄.₅) S₈,"Pearson A. D., Buerger M. J., Confirmation of the crystal structure of pentlandite., American Mineralogist, 41, 804–805 (1956)."
Kutnohorite,(Ca.₅ Mn.₅) C O₃,"Graf D. L., Crystallographic tables for the rhombohedral carbonates Note: Disordered model, American Mineralogist, 46, 1283–1316 (1961)."
Tanteuxenite-(Ho),Ho (Ti Ta) O₆,"Thorogood G. J., Avdeev M., Kennedy B. J., Structural studies of the aeschynite-euxenite transformation in the series Ln(TiTa)O6 Ln = lanthanide, Solid State Sciences, 12, 1263–1269 (2010)."
Schultenite,Pb H As O₄,"Wilson C. C., Cox P. J., Stewart N. S., Structure and disorder in schultenite, lead hydrogen arsenate, Journal of Crystallographic and Spectroscopic Research, 21, 589–593 (1991)."
Osmiridium,(Ir.₈₈ Os.₁₂),"Levy C., Picot P., Nouvelles donnees sur les composes iridium-osmium. Existence de l'osmium natif _cod_database_code 1008871, Bulletin de la Societe Francaise de Mineralogie et de Cristallographie, 84, 312–317 (1961)."
Tanteuxenite-(Yb),Yb (Ti Ta) O₆,"Thorogood G. J., Avdeev M., Kennedy B. J., Structural studies of the aeschynite-euxenite transformation in the series Ln(TiTa)O6 Ln = lanthanide, Solid State Sciences, 12, 1263–1269 (2010)."
Alumino-magnesiohulsite,Fe.₇ Sn.₃ Al₁.₃ Mg₃.₇ B₂ O₁₀,"Pertsev N. N., Schreyer W., Armbruster T., Bernhardt H. J., Medenbach O., Alumino-magnesiohulsite, a new member of the hulsite group, in kotoite marble from east of Verkhoyansk, Sakha-Yakutia, Russia, European Journal of Mineralogy, 16, 151–161 (2004)."
Braggite,Pd (Pt₂.₅ Ni.₅) S₄,"Childs J. D., Hall S. R., The crystal structure of braggite, (Pt,Pd,Ni)S, Acta Crystallographica, Section B, 29, 1446–1451 (1973)."
Ognitite,Ni Bi.₉₈ Te,"Barkov A. Y., Bindi L., Tamura N., Shvedov G. I., Winkler B., Stan C. V., Morgenroth W., Martin R. F., Zaccarini F., Stanley C. J., Ognitite, NiBiTe, a new mineral species, and Co-rich maucherite from the Ognit ultramafic complex, Eastern Sayans, Russia, Mineralogical Magazine, 83, 695–703 (2019)."
Cuprospinel,Cu Fe₂ O₄,"Prince E., Treuting R. G., The structure of tetragonal copper ferrite Note: cell extrapolated from tetrahedra description, Acta Crystallographica, 9, 1025–1028 (1956)."
Letovicite,S₂ N₃ O₈ H₁₃,"Leclaire A., Ledesert M., Monier J., Daoud A., Damak M., Structure du disulfate acide de triammonium. Une redetermination. Relations des chaines de liaisons hydrogene avec la morphologie et la conductivite eletrique _cod_database_code 1001784, Acta Crystallographica, Section B, 41, 209–213 (1985)."
Bariopyrochlore,Nb₂ Ba.₅ O₇,"Groult D., Michel C., Raveau B., Sur de nouveaux pyrochlores lacunaires d'ions bivalents synthetises par echanges d'ions _cod_database_code 1001817, Journal of Inorganic and Nuclear Chemistry, 37, 2203–2205 (1975)."
Cryptohalite,Si N₂ F₆ H₈,"Schlemper E. O., Hamilton W. C., Rush J. J., Structure of cubic ammonium fluosilicate: Neutron-diffraction and neutron-inelastic-scattering studies, Journal of Chemical Physics, 44, 2499–2505 (1966)."
Steinhardtite,(Al.₃₈ Ni.₃₂ Fe.₃),"Bindi L., Yao N., Lin C., Hollister L. S., MacPherson G. J., Poirier G. R., Andronicos C. L., Distler V. V., Eddy M. P., Kostin A., Kryachko V., Steinhardt W. M., Yudovskaya M., Steinhardtite, a new body-centered-cubic allotropic form of aluminum from the Khatyrka CV3 carbonaceous chondrite, American Mineralogist, 99, 2433–2436 (2014)."
